geo_code,target_year,scenario,reference_year,current_score,projected_score,score_change,movement_direction,movement_magnitude_label,outlook_movement_rank,trend_series_count,backtested_count,linear_beats_naive_count,beats_naive_share,mean_abs_slope_per_decade,mean_residual_std,diagnostic_quality_label,projection_fragility_label,fragility_rank,display_recommendation,caveat
TV,2030,capacity_gradual_improvement,,77.7085,72.2792,-5.4293,narrowing,moderate,73,4,4,3,0.75,0.38980634500000005,3.077725935,supported,lower,82,show,stress-test interpretation; not a forecast; diagnostics support cautious display
VU,2030,capacity_gradual_improvement,,38.3856,29.4192,-8.9664,narrowing,moderate,64,4,4,3,0.75,0.09657411999999999,2.2087176125,supported,lower,77,show,stress-test interpretation; not a forecast; diagnostics support cautious display
WF,2030,capacity_gradual_improvement,,82.5555,69.6544,-12.9011,narrowing,moderate,44,4,4,1,0.25,0.00811287,1.9618987625,mixed,caveated,41,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
WS,2030,capacity_gradual_improvement,,36.974,18.5874,-18.3866,narrowing,large,28,4,4,2,0.5,0.1384493575,1.8663537024999999,mixed,caveated,28,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
AS,2050,capacity_flat,,84.9656,52.9927,-31.9729,narrowing,large,10,4,4,2,0.5,0.161442685,1.704097755,mixed,caveated,20,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
CK,2050,capacity_flat,,28.9709,30.0569,1.086,little_change,limited,85,4,4,3,0.75,0.09055906250000001,1.49144403,supported,lower,88,show,stress-test interpretation; not a forecast; diagnostics support cautious display
FJ,2050,capacity_flat,,10.4878,20.6898,10.202,widening,moderate,58,4,4,3,0.75,0.023703575,1.8586461425,supported,lower,71,show,stress-test interpretation; not a forecast; diagnostics support cautious display
FM,2050,capacity_flat,,58.355,34.329,-24.026,narrowing,large,20,4,4,1,0.25,0.19264019,2.7398076225,mixed,caveated,26,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
GU,2050,capacity_flat,,19.8699,23.9362,4.0663,little_change,limited,79,4,4,1,0.25,0.08378931249999999,1.6036454725000002,mixed,caveated,55,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
KI,2050,capacity_flat,,31.0979,60.1815,29.0836,widening,large,17,4,4,1,0.25,0.29269172499999996,3.11851124,mixed,caveated,24,show_with_strong_caveat,stress-test interpretation; not a forecast; mixed diagnostics require visible caveat
