dataset_slug,dataset_name,pillar,story_role,indicator_code,geo_code,year,value,unit,obs_status,reporting_type,source_metadata,official_url,sdmx_csv_api_url,source_content_sha256,source_row_hash
climate-altering-land-cover-index,Climate altering land cover index,candidate_land_context,climate_exposure,ALT_LAND_COVER,AS,2012,100.0,PERCENT,,N,"{""DATAFLOW"":""SPC:DF_CLIMATE_CHANGE(1.0)"",""FREQ"":""A""}","https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ALT_LAND_COVER.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.ALT_LAND_COVER.?dimensionAtObservation=AllDimensions,d04ddf1138425cb4cb06d686283d1e15f9889a6247c249facdff5f5de83ce65a,e683788d72dd0d35b879d3a4a66397ba74a61de034b8461b33f3157df1c3d5b7
climate-altering-land-cover-index,Climate altering land cover index,candidate_land_context,climate_exposure,ALT_LAND_COVER,AS,2013,100.0,PERCENT,,N,"{""DATAFLOW"":""SPC:DF_CLIMATE_CHANGE(1.0)"",""FREQ"":""A""}","https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ALT_LAND_COVER.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.ALT_LAND_COVER.?dimensionAtObservation=AllDimensions,d04ddf1138425cb4cb06d686283d1e15f9889a6247c249facdff5f5de83ce65a,e0fdbda603977f86f9a7744544f4917476fdecd671d68d6f30bf91be6fc2fb57
climate-altering-land-cover-index,Climate altering land cover index,candidate_land_context,climate_exposure,ALT_LAND_COVER,AS,2014,100.0,PERCENT,,N,"{""DATAFLOW"":""SPC:DF_CLIMATE_CHANGE(1.0)"",""FREQ"":""A""}","https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ALT_LAND_COVER.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.ALT_LAND_COVER.?dimensionAtObservation=AllDimensions,d04ddf1138425cb4cb06d686283d1e15f9889a6247c249facdff5f5de83ce65a,3aa05687a9aa8da673eb4dd22d1d9aa014bd4ebe3012e4ae9a8366a9203b7cf5
climate-altering-land-cover-index,Climate altering land cover index,candidate_land_context,climate_exposure,ALT_LAND_COVER,AS,2015,100.0,PERCENT,,N,"{""DATAFLOW"":""SPC:DF_CLIMATE_CHANGE(1.0)"",""FREQ"":""A""}","https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ALT_LAND_COVER.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.ALT_LAND_COVER.?dimensionAtObservation=AllDimensions,d04ddf1138425cb4cb06d686283d1e15f9889a6247c249facdff5f5de83ce65a,a5c2168d17934078a4cf776ad4647c99a6f61d970a8ab875335af3a8e173d4aa
climate-altering-land-cover-index,Climate altering land cover index,candidate_land_context,climate_exposure,ALT_LAND_COVER,AS,2016,100.0,PERCENT,,N,"{""DATAFLOW"":""SPC:DF_CLIMATE_CHANGE(1.0)"",""FREQ"":""A""}","https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ALT_LAND_COVER.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.ALT_LAND_COVER.?dimensionAtObservation=AllDimensions,d04ddf1138425cb4cb06d686283d1e15f9889a6247c249facdff5f5de83ce65a,1cbdeb41a9a9b3729e24b62024a10ab92557893b4d4400162e42039c3b3604e8
climate-altering-land-cover-index,Climate altering land cover index,candidate_land_context,climate_exposure,ALT_LAND_COVER,AS,2017,100.0,PERCENT,,N,"{""DATAFLOW"":""SPC:DF_CLIMATE_CHANGE(1.0)"",""FREQ"":""A""}","https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ALT_LAND_COVER.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.ALT_LAND_COVER.?dimensionAtObservation=AllDimensions,d04ddf1138425cb4cb06d686283d1e15f9889a6247c249facdff5f5de83ce65a,a2472bc1e80a257c2012e07efdbcba7938c302de20f179318f01cd2ae1c90a62
climate-altering-land-cover-index,Climate altering land cover index,candidate_land_context,climate_exposure,ALT_LAND_COVER,AS,2018,100.0,PERCENT,,N,"{""DATAFLOW"":""SPC:DF_CLIMATE_CHANGE(1.0)"",""FREQ"":""A""}","https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ALT_LAND_COVER.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.ALT_LAND_COVER.?dimensionAtObservation=AllDimensions,d04ddf1138425cb4cb06d686283d1e15f9889a6247c249facdff5f5de83ce65a,bb1469495c75762b01e6d739dac8b470064067961a39fe3b7f8810409ad39de4
climate-altering-land-cover-index,Climate altering land cover index,candidate_land_context,climate_exposure,ALT_LAND_COVER,AS,2019,100.0,PERCENT,,N,"{""DATAFLOW"":""SPC:DF_CLIMATE_CHANGE(1.0)"",""FREQ"":""A""}","https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ALT_LAND_COVER.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.ALT_LAND_COVER.?dimensionAtObservation=AllDimensions,d04ddf1138425cb4cb06d686283d1e15f9889a6247c249facdff5f5de83ce65a,01f590d9e5c2ec5ff40896c846ae81ef992d6ff1247000103377c8ced8b06312
climate-altering-land-cover-index,Climate altering land cover index,candidate_land_context,climate_exposure,ALT_LAND_COVER,AS,2020,99.5,PERCENT,,N,"{""DATAFLOW"":""SPC:DF_CLIMATE_CHANGE(1.0)"",""FREQ"":""A""}","https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ALT_LAND_COVER.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.ALT_LAND_COVER.?dimensionAtObservation=AllDimensions,d04ddf1138425cb4cb06d686283d1e15f9889a6247c249facdff5f5de83ce65a,18b480c2bbfb1a00b424ae91f417db82e97999dbaaa3d46128443d1e79555799
climate-altering-land-cover-index,Climate altering land cover index,candidate_land_context,climate_exposure,ALT_LAND_COVER,AS,2021,100.0,PERCENT,,N,"{""DATAFLOW"":""SPC:DF_CLIMATE_CHANGE(1.0)"",""FREQ"":""A""}","https://stats.pacificdata.org/vis?lc=en&df[ds]=SPC2&df[id]=DF_CLIMATE_CHANGE&df[ag]=SPC&df[vs]=1.0&av=true&dq=A.ALT_LAND_COVER.&pd=,&to[TIME_PERIOD]=false",https://stats-sdmx-disseminate.pacificdata.org/rest/v2/data/dataflow/SPC/DF_CLIMATE_CHANGE/1.0/A.ALT_LAND_COVER.?dimensionAtObservation=AllDimensions,d04ddf1138425cb4cb06d686283d1e15f9889a6247c249facdff5f5de83ce65a,d4472c9e29259d5cb3f18b64a177220b774409c6b0f55586052299305f7065f9
